timestamp,address,values
2025-11-19T16:19:23.974081,/muse/eeg,"[669.2673992673992, 389.2307692307692, 858.6446886446887, 660.0]"
2025-11-19T16:19:24.068726,/muse/eeg,"[754.2857142857143, 511.31868131868134, 967.4358974358975, 711.5750915750916]"
2025-11-19T16:19:24.021687,/muse/eeg,"[706.7399267399268, 291.72161172161174, 886.8498168498169, 684.981684981685]"
2025-11-19T16:19:24.104749,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.171008,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.252193,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.318538,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.371133,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.436633,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.473464,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.536717,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.617791,/muse/eeg,"[826.007326007326, 570.5494505494505, 956.959706959707, 776.4468864468864]"
2025-11-19T16:19:24.655156,/muse/eeg,"[804.6520146520147, 645.8974358974359, 895.7142857142858, 752.2710622710623]"
2025-11-19T16:19:24.703266,/muse/eeg,"[810.6959706959707, 550.4029304029305, 892.4908424908425, 759.92673992674]"
2025-11-19T16:19:24.753363,/muse/eeg,"[810.6959706959707, 550.4029304029305, 892.4908424908425, 759.92673992674]"
2025-11-19T16:19:24.820130,/muse/eeg,"[810.6959706959707, 550.4029304029305, 892.4908424908425, 759.92673992674]"
2025-11-19T16:19:24.871340,/muse/eeg,"[810.6959706959707, 550.4029304029305, 892.4908424908425, 759.92673992674]"
2025-11-19T16:19:24.969733,/muse/eeg,"[716.4102564102565, 151.9047619047619, 966.2271062271062, 685.3846153846154]"
2025-11-19T16:19:25.020448,/muse/eeg,"[716.4102564102565, 151.9047619047619, 966.2271062271062, 685.3846153846154]"
2025-11-19T16:19:25.058844,/muse/eeg,"[716.4102564102565, 151.9047619047619, 966.2271062271062, 685.3846153846154]"
2025-11-19T16:19:25.151058,/muse/eeg,"[716.4102564102565, 151.9047619047619, 966.2271062271062, 685.3846153846154]"
2025-11-19T16:19:25.204650,/muse/eeg,"[716.4102564102565, 151.9047619047619, 966.2271062271062, 685.3846153846154]"
2025-11-19T16:19:25.287099,/muse/eeg,"[716.4102564102565, 151.9047619047619, 966.2271062271062, 685.3846153846154]"
2025-11-19T16:19:25.340441,/muse/eeg,"[716.4102564102565, 151.9047619047619, 966.2271062271062, 685.3846153846154]"
2025-11-19T16:19:25.421383,/muse/eeg,"[804.6520146520147, 143.44322344322345, 833.6630036630037, 745.8241758241759]"
2025-11-19T16:19:25.472700,/muse/eeg,"[785.7142857142858, 123.69963369963371, 858.2417582417582, 727.6923076923077]"
2025-11-19T16:19:25.554299,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.568799,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.589749,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.620422,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.654969,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.705179,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.819803,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.905291,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.969763,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:25.841795,/muse/eeg,"[640.6593406593407, 95.8974358974359, 862.2710622710623, 618.0952380952381]"
2025-11-19T16:19:26.071574,/muse/eeg,"[738.1684981684982, 402.9304029304029, 893.6996336996338, 703.1135531135532]"
2025-11-19T16:19:26.037791,/muse/eeg,"[831.2454212454213, 154.72527472527474, 883.2234432234433, 778.4615384615385]"
2025-11-19T16:19:26.170774,/muse/eeg,"[738.1684981684982, 402.9304029304029, 893.6996336996338, 703.1135531135532]"
2025-11-19T16:19:26.205367,/muse/eeg,"[640.6593406593407, 302.6007326007326, 863.4798534798535, 621.3186813186813]"
2025-11-19T16:19:26.287569,/muse/eeg,"[803.4432234432235, 0.0, 880.0, 769.5970695970697]"
2025-11-19T16:19:26.370174,/muse/eeg,"[761.5384615384615, 110.40293040293041, 918.2783882783883, 736.5567765567765]"
2025-11-19T16:19:26.393906,/muse/eeg,"[761.5384615384615, 110.40293040293041, 918.2783882783883, 736.5567765567765]"
2025-11-19T16:19:26.420852,/muse/eeg,"[780.4761904761905, 100.73260073260073, 903.7728937728938, 740.1831501831502]"
2025-11-19T16:19:26.504099,/muse/eeg,"[667.6556776556777, 313.0769230769231, 851.3919413919414, 654.7619047619048]"
2025-11-19T16:19:26.528026,/muse/eeg,"[667.6556776556777, 313.0769230769231, 851.3919413919414, 654.7619047619048]"
